Deprecated reconstructed artifact. Not used as 0.5.0 final evidence.
model_id,group,correct,total,accuracy
deepseek-v4-pro,analytical_chemistry,8,8,1.0
deepseek-v4-pro,general_chemistry,4,5,0.8
deepseek-v4-pro,inorganic_chemistry,4,4,1.0
deepseek-v4-pro,materials_science,8,8,1.0
deepseek-v4-pro,organic_chemistry,4,4,1.0
deepseek-v4-pro,physical_chemistry,6,6,1.0
deepseek-v4-pro,technical_chemistry,7,7,1.0
deepseek-v4-pro,toxicity_and_safety,7,8,0.875
gpt-5.5,analytical_chemistry,8,8,1.0
gpt-5.5,general_chemistry,4,5,0.8
gpt-5.5,inorganic_chemistry,4,4,1.0
gpt-5.5,materials_science,8,8,1.0
gpt-5.5,organic_chemistry,4,4,1.0
gpt-5.5,physical_chemistry,6,6,1.0
gpt-5.5,technical_chemistry,7,7,1.0
gpt-5.5,toxicity_and_safety,7,8,0.875
mimo-v2.5-pro,analytical_chemistry,8,8,1.0
mimo-v2.5-pro,general_chemistry,4,5,0.8
mimo-v2.5-pro,inorganic_chemistry,4,4,1.0
mimo-v2.5-pro,materials_science,8,8,1.0
mimo-v2.5-pro,organic_chemistry,4,4,1.0
mimo-v2.5-pro,physical_chemistry,6,6,1.0
mimo-v2.5-pro,technical_chemistry,7,7,1.0
mimo-v2.5-pro,toxicity_and_safety,6,8,0.75
