model_id,group,correct,total,accuracy
deepseek-v4-pro,inorganic_chemistry,8,9,0.8889
deepseek-v4-pro,organic_chemistry,13,19,0.6842
deepseek-v4-pro,physical_chemistry,1,4,0.25
deepseek-v4-pro,technical_chemistry,4,4,1.0
deepseek-v4-pro,toxicity_and_safety,3,4,0.75
ep-20260703090429-qpmt7,inorganic_chemistry,8,9,0.8889
ep-20260703090429-qpmt7,organic_chemistry,15,19,0.7895
ep-20260703090429-qpmt7,physical_chemistry,2,4,0.5
ep-20260703090429-qpmt7,technical_chemistry,4,4,1.0
ep-20260703090429-qpmt7,toxicity_and_safety,3,4,0.75
gpt-5.5,inorganic_chemistry,7,9,0.7778
gpt-5.5,organic_chemistry,17,19,0.8947
gpt-5.5,physical_chemistry,3,4,0.75
gpt-5.5,technical_chemistry,4,4,1.0
gpt-5.5,toxicity_and_safety,3,4,0.75
mimo-v2.5-pro,inorganic_chemistry,9,9,1.0
mimo-v2.5-pro,organic_chemistry,15,19,0.7895
mimo-v2.5-pro,physical_chemistry,4,4,1.0
mimo-v2.5-pro,technical_chemistry,4,4,1.0
mimo-v2.5-pro,toxicity_and_safety,2,4,0.5
