set,model_a,model_b,items,answer_disagreement_count,answer_disagreement_rate,correctness_disagreement_count,correctness_disagreement_rate
sgs152_mcq,gpt-5.5,deepseek-v4-pro,122,8,0.0656,8,0.0656
sgs152_mcq,gpt-5.5,mimo-v2.5-pro,122,8,0.0656,8,0.0656
sgs152_mcq,gpt-5.5,ep-20260703090429-qpmt7,122,9,0.0738,9,0.0738
sgs152_mcq,deepseek-v4-pro,mimo-v2.5-pro,122,8,0.0656,8,0.0656
sgs152_mcq,deepseek-v4-pro,ep-20260703090429-qpmt7,122,7,0.0574,7,0.0574
sgs152_mcq,mimo-v2.5-pro,ep-20260703090429-qpmt7,122,5,0.041,5,0.041
robustness,gpt-5.5,deepseek-v4-pro,40,12,0.3,11,0.275
robustness,gpt-5.5,mimo-v2.5-pro,40,9,0.225,8,0.2
robustness,gpt-5.5,ep-20260703090429-qpmt7,40,9,0.225,8,0.2
robustness,deepseek-v4-pro,mimo-v2.5-pro,40,9,0.225,9,0.225
robustness,deepseek-v4-pro,ep-20260703090429-qpmt7,40,5,0.125,3,0.075
robustness,mimo-v2.5-pro,ep-20260703090429-qpmt7,40,8,0.2,8,0.2
hard50,gpt-5.5,deepseek-v4-pro,50,1,0.02,1,0.02
hard50,gpt-5.5,mimo-v2.5-pro,50,1,0.02,1,0.02
hard50,gpt-5.5,ep-20260703090429-qpmt7,50,0,0.0,0,0.0
hard50,deepseek-v4-pro,mimo-v2.5-pro,50,0,0.0,0,0.0
hard50,deepseek-v4-pro,ep-20260703090429-qpmt7,50,1,0.02,1,0.02
hard50,mimo-v2.5-pro,ep-20260703090429-qpmt7,50,1,0.02,1,0.02
