model_id,group,correct,total,accuracy
deepseek-v4-pro,calculator,2,2,1.0
deepseek-v4-pro,mechanism_map,1,1,1.0
deepseek-v4-pro,no_tool,5,5,1.0
deepseek-v4-pro,protocol_checklist,1,1,1.0
deepseek-v4-pro,safety_reference,3,3,1.0
gpt-5.5,calculator,2,2,1.0
gpt-5.5,mechanism_map,1,1,1.0
gpt-5.5,no_tool,5,5,1.0
gpt-5.5,protocol_checklist,1,1,1.0
gpt-5.5,safety_reference,3,3,1.0
mimo-v2.5-pro,calculator,2,2,1.0
mimo-v2.5-pro,mechanism_map,1,1,1.0
mimo-v2.5-pro,no_tool,5,5,1.0
mimo-v2.5-pro,protocol_checklist,1,1,1.0
mimo-v2.5-pro,safety_reference,3,3,1.0
