model_id,group,correct,total,accuracy
deepseek-v4-pro,general_chemistry,4,4,1.0
deepseek-v4-pro,materials_science,6,6,1.0
deepseek-v4-pro,organic_chemistry,3,4,0.75
deepseek-v4-pro,physical_chemistry,4,4,1.0
deepseek-v4-pro,technical_chemistry,2,2,1.0
deepseek-v4-pro,toxicity_and_safety,4,4,1.0
gpt-5.5,general_chemistry,4,4,1.0
gpt-5.5,materials_science,6,6,1.0
gpt-5.5,organic_chemistry,4,4,1.0
gpt-5.5,physical_chemistry,4,4,1.0
gpt-5.5,technical_chemistry,2,2,1.0
gpt-5.5,toxicity_and_safety,4,4,1.0
mimo-v2.5-pro,general_chemistry,3,4,0.75
mimo-v2.5-pro,materials_science,6,6,1.0
mimo-v2.5-pro,organic_chemistry,3,4,0.75
mimo-v2.5-pro,physical_chemistry,4,4,1.0
mimo-v2.5-pro,technical_chemistry,2,2,1.0
mimo-v2.5-pro,toxicity_and_safety,4,4,1.0
