model_id,group,correct,total,accuracy
deepseek-v4-pro,calculator,4,4,1.0
deepseek-v4-pro,data_plotting,4,5,0.8
deepseek-v4-pro,literature_retrieval,4,4,1.0
deepseek-v4-pro,no_tool,59,80,0.7375
deepseek-v4-pro,protocol_checklist,17,18,0.9444
deepseek-v4-pro,safety_reference,9,9,1.0
deepseek-v4-pro,table_analysis,2,2,1.0
gpt-5.5,calculator,4,4,1.0
gpt-5.5,data_plotting,5,5,1.0
gpt-5.5,literature_retrieval,4,4,1.0
gpt-5.5,no_tool,58,80,0.725
gpt-5.5,protocol_checklist,17,18,0.9444
gpt-5.5,safety_reference,9,9,1.0
gpt-5.5,table_analysis,2,2,1.0
mimo-v2.5-pro,calculator,3,4,0.75
mimo-v2.5-pro,data_plotting,5,5,1.0
mimo-v2.5-pro,literature_retrieval,4,4,1.0
mimo-v2.5-pro,no_tool,62,80,0.775
mimo-v2.5-pro,protocol_checklist,17,18,0.9444
mimo-v2.5-pro,safety_reference,7,9,0.7778
mimo-v2.5-pro,table_analysis,2,2,1.0
